Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Clarins Body-Smoothing Moisture Milk 400 ml + Clarins Nutri-Lumiere Day Cream Emulsion 50 ml,1081043,1055965,105.32,3,0,0.0
Clarins Body-Smoothing Moisture Milk 400 ml + Clarins Super Restorative Abdomen & Waist Balm 200 ml,1081043,1080926,76.56,3,0,0.0
Kiko Milano Extra Sculpt Volume Mascara 11 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000569,9-4896003454,22.72,0,0,0.0
Kiko Milano Extra Sculpt Volume Mascara 11 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000569,9-4896004057,16.34,0,0,0.0
Gant ανδρικό σετ μποξεράκια μονόχρωμα (3 τεμάχια) Μαύρο S + Gant ανδρικό μαγιό βερμούδα με lemon flower print Μπλε Σκούρο S,3GU3233|G0005|S,3G922016011|G0461|S,42.53,0,0,0.0
Kiko Milano Extra Sculpt Volume Mascara 11 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896000569,9-4896003805,14.83,0,0,0.0
Gant ανδρικό σετ μποξεράκια μονόχρωμα (3 τεμάχια) Μαύρο S + Gant σετ ανδρικά εσώρουχα boxer shorts με λογότυπο στο λάστιχο (2 τεμάχια) Μπλε M,3GU3233|G0005|S,3GU901832169|G0464|M,31.94,0,0,0.0
Gant ανδρικό σετ μποξεράκια μονόχρωμα (3 τεμάχια) Μαύρο S + Gant ανδρικό μαγιό με σχέδια Γαλάζιο M,3GU3233|G0005|S,3G921916012|G0437|M,43.81,0,0,0.0
Kiko Milano Hydra Pro Glow  + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896003447,9-4896003454,28.04,0,0,0.0
Kiko Milano Hydra Pro Glow  + Kiko Milano Pure Clean Toner 200 ml,9-4896003447,9-4896003805,20.15,0,0,0.0
Kiko Milano Hydra Pro Glow  + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896003447,9-4896004057,21.65,0,0,0.0
Kiko Milano Crazy '90S Unicorn Body Cream + Kiko Milano Pure Clean Toner 200 ml,9-4896004084,9-4896003805,13.49,0,0,0.0
Kiko Milano Crazy '90S Unicorn Body Cream + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004084,9-4896003454,21.38,0,0,0.0
Kiko Milano Crazy '90S Unicorn Body Cream + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004084,9-4896004057,15.0,0,0,0.0
Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 50ml + Estée Lauder Bronze Goddess Healthy Glow Bronzer Deep,9-2077003687,9-2077003853,110.12,0,0,0.0
Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 50ml + Estée Lauder Double Wear Maximum Cover Camouflage Makeup For Face & Body SPF 15 Estée Lauder Double Wear Maximum Cover Camouflage Makeup For Face & Body SPF 15 3C4 Medium/Deep 30 ml,9-2077003687,919207702337,108.89,0,0,0.0
Kiko Milano New 30 Days Extension - Night Treatment Booster Mascara 8 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896000315,9-4896003805,13.96,0,0,0.0
Kiko Milano New 30 Days Extension - Night Treatment Booster Mascara 8 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000315,9-4896003454,21.86,0,0,0.0
Kiko Milano New 30 Days Extension - Night Treatment Booster Mascara 8 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000315,9-4896004057,15.47,0,0,0.0
Kiko Milano Maxi Mod Waterproof Mascara 12 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896001255,9-4896003805,10.04,0,0,0.0
Kiko Milano Maxi Mod Waterproof Mascara 12 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001255,9-4896003454,17.93,0,0,0.0
Kiko Milano Maxi Mod Waterproof Mascara 12 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001255,9-4896004057,11.55,0,0,0.0
Kiko Milano Make Up Fixer + Kiko Milano Pure Clean Toner 200 ml,9-4896000825,9-4896003805,14.27,0,0,0.0
